Ticker,ShortName,Sector,Industry,Country,Timestamp_extraction,ReturnOnAssets,ReturnOnEquity,OperatingMargins,GrossMargins,ProfitMargins,ebitdaMargins,MarketCap,TotalRevenue,NetIncomeToCommon,DebtToEquity,FreeCashflow,DividendRate,DividendYield,PayoutRatio
AAPL,Apple Inc.,Technology,Consumer Electronics,United States,2025-03-03 17:03:40,0.22519,1.3652,0.34459,0.46519,0.24295,0.34706,3627540.0,395760.0,96150.0,145.0,93833.9,1.0,0.41,0.1571
ABNB,"Airbnb, Inc.",Consumer Cyclical,Travel Services,United States,2025-03-03 17:03:54,0.07671,0.31948,0.17339,0.83084,0.23852,0.23275,89078.4,11102.0,2648.0,27.271,3145.62,,,0.0
ADBE,Adobe Inc.,Technology,Software - Application,United States,2025-03-03 17:03:46,0.16287,0.36313,0.363,0.89035,0.25854,0.39079,193700.0,21505.0,5560.0,42.935,7953.25,,,0.0
ADI,"Analog Devices, Inc.",Technology,Semiconductors,United States,2025-03-03 17:03:52,0.02616,0.04429,0.22912,0.57163,0.16748,0.44028,115562.0,9337.63,1563.86,21.725,2997.51,3.96,1.72,1.1757
ADP,"Automatic Data Processing, Inc.",Technology,Software - Application,United States,2025-03-03 17:03:50,0.05457,0.83716,0.25901,0.48231,0.19764,0.29439,129706.0,19903.4,3933.7,86.202,4454.92,6.16,1.95,0.5985
ADSK,"Autodesk, Inc.",Technology,Software - Application,United States,2025-03-03 17:04:00,0.08249,0.49687,0.23246,0.91959,0.18137,0.23879,60030.0,6131.0,1112.0,97.634,2077.62,,,0.0
AEP,American Electric Power Company,Utilities,Utilities - Regulated Electric,United States,2025-03-03 17:04:00,0.02861,0.11386,0.26299,0.47321,0.15045,0.39671,56856.3,19721.3,2967.1,170.451,-2010.39,3.72,3.51,0.6398
AMAT,"Applied Materials, Inc.",Technology,Semiconductor Equipment & Materials,United States,2025-03-03 17:03:50,0.15558,0.35186,0.30352,0.47726,0.22953,0.30689,128710.0,27635.0,6343.0,35.372,3825.75,1.6,1.01,0.1987
AMD,"Advanced Micro Devices, Inc.",Technology,Semiconductors,United States,2025-03-03 17:03:48,0.01902,0.02893,0.13803,0.53019,0.06364,0.19973,163814.0,25785.0,1641.0,4.032,3506.25,,,0.0
AMGN,Amgen Inc.,Healthcare,Drug Manufacturers - General,United States,2025-03-03 17:03:47,0.064,0.67553,0.51805,0.68711,0.12237,0.45348,167237.0,33424.0,4090.0,1035.89,13725.9,9.52,3.09,1.1905
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,United States,2025-03-03 17:03:41,0.07438,0.2429,0.11291,0.48854,0.09287,0.18883,2218100.0,637959.0,59248.0,54.342,44635.9,,,0.0
