Ticker,ShortName,Sector,Industry,Country,FullTimeEmployees,MarketCap,TotalRevenue,NetIncomeToCommon,TrailingEPS,ForwardEPS,TrailingPE,ForwardPE,ReturnOnAssets,ReturnOnEquity,DebtToEquity,FreeCashflow,DividendRate,DividendYield,PayoutRatio,Beta,GrossMargins,OperatingMargins,ProfitMargins,ebitdaMargins,Timestamp_extraction
AAPL,Apple Inc.,Technology,Consumer Electronics,United States,150000,3679363006464,395760009216,96150003712,6.31,8.31,38.816162,29.7,0.22518998,1.3652,145.0,93833871360,1.0,0.0041,0.1571,1.2,0.47,0.34,0.24,0.34706002,2025-02-18 17:53:08
NVDA,NVIDIA Corporation,Technology,Semiconductors,United States,29600,3447702159360,113268998144,63074000896,2.53,4.12,55.644268,31.73,0.59131,1.27211,15.516,41753001984,0.04,0.00029999999,0.0111,1.619,0.76,0.62,0.56,0.6422,2025-02-18 17:53:08
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,United States,228000,3042170372096,261802000384,92749996032,12.42,14.95,32.94887,27.2,0.14649001,0.34291,33.998,51958124544,3.32,0.0081,0.2482,0.895,0.69,0.45,0.35,0.54255,2025-02-18 17:53:08
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,United States,1556000,2379819515904,637959012352,59248001024,5.53,6.15,40.607594,29.66,0.07438,0.24290001,54.342,44635873280,N/A,N/A,N/A,1.156,0.49,0.11,0.09,0.18882999,2025-02-18 17:53:08
GOOG,Alphabet Inc.,Communication Services,Internet Content & Information,United States,183323,2259090669568,350018011136,100118003712,8.04,8.95,23.161692,18.19,0.1674,0.32908002,8.655,56580751360,0.8,0.0043,0.0746,0.991,0.58,0.34,0.29,0.36997002,2025-02-18 17:53:08
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,United States,183323,2256473423872,350018011136,100118003712,8.04,8.96,22.93184,18.01,0.1674,0.32908002,8.655,56580751360,0.8,0.0043,0.0746,0.991,0.58,0.34,0.29,0.36997002,2025-02-18 17:53:08
META,"Meta Platforms, Inc.",Communication Services,Internet Content & Information,United States,74067,1818217676800,164500996096,62359998464,23.87,25.3,30.063887,24.72,0.16863,0.37140998,27.25,36095000576,2.1,0.0029,0.0838,1.2,0.82,0.45,0.38,0.50891,2025-02-18 17:53:08
TSLA,"Tesla, Inc.",Consumer Cyclical,Auto Manufacturers,United States,125665,1147815198720,97690001408,7129999872,2.03,3.24,175.78818,94.68,0.04186,0.1042,18.489,-826875008,N/A,N/A,N/A,2.336,0.18,0.06,0.07,0.13335,2025-02-18 17:53:08
AVGO,Broadcom Inc.,Technology,Semiconductors,United States,37000,1062647955456,51574001664,6168000000,1.28,6.17,177.11328,29.89,0.08126,0.13458,166.032,28315375616,2.36,0.0101,1.6317999,1.039,0.75,0.32,0.11,0.4918,2025-02-18 17:53:09
COST,Costco Wholesale Corporation,Consumer Defensive,Discount Stores,United States,333000,466997313536,258805006336,7576000000,17.04,19.68,61.739143,52.5,0.080699995,0.29946,33.25,3041625088,4.64,0.0043,0.2644,0.83,0.13,0.04,0.03,0.04552,2025-02-18 17:53:09
NFLX,"Netflix, Inc.",Communication Services,Entertainment,United States,14000,443635335168,39000965120,8711630848,19.8,23.78,52.3798,34.16,0.12720999,0.38435,72.726,21253855232,N/A,N/A,N/A,1.274,0.46,0.22,0.22,0.27555,2025-02-18 17:53:09
TMUS,"T-Mobile US, Inc.",Communication Services,Telecom Services,United States,70000,305869291520,81399996416,11338999808,9.67,10.67,27.70398,20.84,0.05461,0.17934,186.194,10796749824,3.52,0.012999999,0.29299998,0.555,0.64,0.2,0.14,0.38182,2025-02-18 17:53:09
ASML,ASML Holding N.V. - New York Re,Technology,Semiconductor Equipment & Materials,Netherlands,42786,299636424704,28262899712,7571599872,19.99,26.7,37.406704,25.9,0.12737,0.47427,19.902,7925825024,7.68,0.010199999,0.3254,1.082,0.51,0.36,0.27,0.35174,2025-02-18 17:53:09
PLTR,Palantir Technologies Inc.,Technology,Software - Infrastructure,United States,N/A,276460535808,2865507072,462190016,0.19,0.47,638.7369,175.18,0.035720002,0.10812,4.696,924912896,N/A,N/A,N/A,2.811,0.8,0.01,0.16,0.11935,2025-02-18 17:53:09
CSCO,"Cisco Systems, Inc.",Technology,Communication Equipment,United States,90400,259835248640,54175997952,9187000320,2.28,3.9,28.614035,16.32,0.06583,0.20019,68.17,12916875264,1.64,0.0253,0.7018,0.827,0.65,0.22,0.17,0.27051002,2025-02-18 17:53:09
